# GLM-5.2 MXFP4 / MI355X — tuning campaign progress
# throughput_per_gpu_tps = (input+output) tok/s per GPU
# output_tps = output-only tok/s TOTAL across all GPUs (= output_per_chip * tp)
# itl_* values in ms. intvty_p90 = 1/ITL_p90 (tok/s/user floor, higher=better)
# dataset_ok: False = 256k-capped ISL (p90~170k); True = unfiltered (p90~283k)
date,run_id,job_url,branch,runner,image,framework,tp,ep,conc,max_running_requests,chunked_prefill_size,kv_offload,hicache_ratio,mtp,spec_steps,spec_draft_tokens,duration_s,requests_ok,throughput_per_gpu_tps,output_tps,ttft_mean_s,ttft_p50_s,ttft_p90_s,itl_mean_ms,itl_p50_ms,itl_p90_ms,intvty_mean,intvty_p50,intvty_p90,gpu_cache_hit_rate,cpu_cache_hit_rate,kv_gpu_usage_pct,kv_cpu_usage_pct,dataset_ok,notes
2026-08-31,33373633743,https://github.com/giovanniguastiamd/InferenceX/actions/runs/33373633743,testgg-maxreq2x,mi355x-amds,v0.5.16-rocm720-mi35x-20260728,sglang,4,4,4,4,32768,hicache,1.5,mtp,5,6,,,,,,,,,,,,,80.4,,,,,True,PR#2777 40xMI355X SLURM TP=4/EP=4 HiCache=1.5
2026-08-31,33373633743,https://github.com/giovanniguastiamd/InferenceX/actions/runs/33373633743,testgg-maxreq2x,mi355x-amds,v0.5.16-rocm720-mi35x-20260728,sglang,4,4,8,8,32768,hicache,1.5,mtp,5,6,,,,,,,,,,,,,56.9,,,,,True,PR#2777 40xMI355X SLURM TP=4/EP=4 HiCache=1.5
2026-08-31,33373633743,https://github.com/giovanniguastiamd/InferenceX/actions/runs/33373633743,testgg-maxreq2x,mi355x-amds,v0.5.16-rocm720-mi35x-20260728,sglang,4,4,10,10,32768,hicache,1.5,mtp,5,6,,,,353.2,,,,,,,,,,,,,,True,PR#2777 40xMI355X SLURM TP=4/EP=4 HiCache=1.5
2026-08-31,33373633743,https://github.com/giovanniguastiamd/InferenceX/actions/runs/33373633743,testgg-maxreq2x,mi355x-amds,v0.5.16-rocm720-mi35x-20260728,sglang,4,4,12,12,32768,hicache,1.5,mtp,5,6,,,,339.6,,,,,,,,,,,,,,True,PR#2777 40xMI355X SLURM TP=4/EP=4 HiCache=1.5
2026-09-02,33647171278,https://github.com/giovanniguastiamd/InferenceX/actions/runs/33647171278,testgg-qr-int4,mi355x-amds_03,v0.5.16-rocm720-mi35x-20260728,sglang,4,4,12,12,32768,hicache,1.5,mtp,5,6,,,,,,,,,,21.0,,,47.7,,,62,,False,HiCache c12 256k INVALIDATED — qualitative HiCache=no-HiCache
2026-09-02,33661191728,https://github.com/giovanniguastiamd/InferenceX/actions/runs/33661191728,testgg-qr-int4,mi355x-amds_03,v0.5.16-rocm720-mi35x-20260728,sglang,4,4,2,2,32768,none,,mtp,5,6,,,,140.0,,,,,7.4,9.5,,,105.6,,,18,,False,no-HiCache Pareto 256k INVALIDATED
2026-09-02,33661191728,https://github.com/giovanniguastiamd/InferenceX/actions/runs/33661191728,testgg-qr-int4,mi355x-amds_03,v0.5.16-rocm720-mi35x-20260728,sglang,4,4,4,4,32768,none,,mtp,5,6,,,,184.0,,,,,8.1,10.9,,,92.0,,,26,,False,no-HiCache Pareto 256k INVALIDATED
2026-09-02,33661191728,https://github.com/giovanniguastiamd/InferenceX/actions/runs/33661191728,testgg-qr-int4,mi355x-amds_03,v0.5.16-rocm720-mi35x-20260728,sglang,4,4,8,8,32768,none,,mtp,5,6,,,,316.0,,,,,10.3,15.0,,,66.7,,,50,,False,no-HiCache Pareto 256k INVALIDATED
2026-09-02,33661191728,https://github.com/giovanniguastiamd/InferenceX/actions/runs/33661191728,testgg-qr-int4,mi355x-amds_03,v0.5.16-rocm720-mi35x-20260728,sglang,4,4,10,10,32768,none,,mtp,5,6,,,,368.0,,,,,11.6,18.5,,,54.1,,,63,,False,no-HiCache Pareto 256k INVALIDATED
2026-09-02,33661191728,https://github.com/giovanniguastiamd/InferenceX/actions/runs/33661191728,testgg-qr-int4,mi355x-amds_03,v0.5.16-rocm720-mi35x-20260728,sglang,4,4,12,12,32768,none,,mtp,5,6,,,,424.0,,,,,11.8,20.4,,,48.9,,,60,,False,no-HiCache Pareto 256k INVALIDATED
2026-09-02,33661191728,https://github.com/giovanniguastiamd/InferenceX/actions/runs/33661191728,testgg-qr-int4,mi355x-amds_03,v0.5.16-rocm720-mi35x-20260728,sglang,4,4,20,20,32768,none,,mtp,5,6,,,,316.0,,,,,25.2,150.4,,,6.6,,,100,,False,no-HiCache Pareto 256k INVALIDATED — OOM onset
2026-09-02,33661191728,https://github.com/giovanniguastiamd/InferenceX/actions/runs/33661191728,testgg-qr-int4,mi355x-amds_03,v0.5.16-rocm720-mi35x-20260728,sglang,4,4,24,24,32768,none,,mtp,5,6,,,,152.0,,,,,115.5,257.1,,,3.9,,,100,,False,no-HiCache Pareto 256k INVALIDATED — OOM collapse
